Rows	0	2.5	5	7.5	10	12.5	15	17.5	20	22.5	25	27.5	30	32.5	35	37.5	40
34dmrb	0.05796	0.06862	0.08136	0.09849	0.13907	0.25321	0.47308	0.59659	0.58391	0.55175	0.47901	0.37386	0.25502	0.12802	0.06032	0.03430	0.01962
35dmrd1b	0.07117	0.07217	0.06843	0.07439	0.09042	0.14762	0.37743	0.58143	0.59765	0.59131	0.56194	0.51553	0.38843	0.26984	0.16306	0.08727	0.04383
36dmrbt2	0.07823	0.07724	0.08267	0.08900	0.11036	0.18113	0.39416	0.51674	0.47148	0.39401	0.28435	0.18273	0.11185	0.05951	0.04720	0.03239	0.01873
37dmrbd3	0.08585	0.09664	0.10044	0.10596	0.11903	0.18862	0.41869	0.54644	0.49954	0.41875	0.29872	0.18435	0.07972	0.03891	0.02629	0.02039	0.01873
38dmrbd4	0.05443	0.04578	0.05224	0.05483	0.07011	0.13666	0.38494	0.58470	0.58875	0.52784	0.43302	0.26002	0.13470	0.04677	0.02352	0.01923	0.01926
39dmrd3z	0.10382	0.10723	0.12305	0.15648	0.16969	0.16635	0.25531	0.36978	0.38327	0.31679	0.26103	0.206	0.13011	0.10457	0.072535	0.067264	0.053909
40dmrd4z	0.057582	0.054824	0.053706	0.069038	0.087437	0.14681	0.41319	0.69507	0.83711	0.78333	0.76383	0.69681	0.55901	0.41819	0.27136	0.14957	0.07689
41dmr2tz	0.020407	0.020423	0.016362	0.014106	0.018911	0.02767	0.10746	0.32283	0.46074	0.52119	0.52512	0.45737	0.37564	0.30196	0.20271	0.11776	0.074734
42dmbrks	0.015383	0.015884	0.014322	0.014458	0.016373	0.025902	0.072147	0.11426	0.10224	0.08451	0.048372	0.039428	0.022706	0.015883	0.01632	0.016026	0.016598
43dmbrkl	0.017119	0.015888	0.011933	0.010229	0.012776	0.023251	0.067731	0.14287	0.18408	0.19411	0.17258	0.157	0.1157	0.08918	0.069638	0.05435	0.03817
44dmvns	0.01347	0.020867	0.020152	0.020339	0.027865	0.047559	0.13987	0.22229	0.19342	0.21221	0.16737	0.13935	0.095936	0.066438	0.053034	0.040213	0.03277
46dmvnds	0.065948	0.071439	0.088367	0.11611	0.17816	0.29593	0.64543	0.75079	0.68598	0.60133	0.37431	0.22117	0.11497	0.068444	0.050025	0.041185	0.037082
48dmvnd1	0.068835	0.080144	0.080098	0.095194	0.15056	0.28398	0.56411	0.67197	0.68423	0.55337	0.42458	0.2333	0.11598	0.058338	0.035359	0.022492	0.016058
49dmsogls	0.060514	0.055651	0.056498	0.054284	0.054952	0.075233	0.12282	0.15736	0.15969	0.12534	0.11552	0.090864	0.076581	0.057256	0.0442	0.041103	0.03159
50dmsogce	0.051066	0.038974	0.036899	0.04237	0.051279	0.093516	0.24254	0.34992	0.36002	0.30106	0.26031	0.20138	0.16348	0.13264	0.10743	0.07721	0.065348
53dmtpe	0.11056	0.12041	0.10406	0.077649	0.0637	0.043916	0.041943	0.031534	0.02894	0.025192	0.022411	0.018322	0.014675	0.013367	0.012967	0.015644	0.017361
54dmspe	0.38091	0.33634	0.25304	0.18418	0.11898	0.071286	0.057982	0.054097	0.044091	0.036529	0.032703	0.026119	0.025514	0.022999	0.022217	0.021868	0.024182
57derw	0.036374	0.050397	0.054284	0.060336	0.061877	0.075946	0.24445	0.51167	0.4621	0.34786	0.17141	0.074368	0.03063	0.02343	0.019099	0.018782	0.024353
58darw	0.020052	0.022597	0.020681	0.025743	0.032956	0.065372	0.19435	0.3174	0.29462	0.23732	0.13995	0.066497	0.033652	0.020569	0.016763	0.011061	0.010909
59dmojrw	0.017706	0.012688	0.012953	0.016604	0.01712	0.019962	0.03617	0.078111	0.11865	0.14858	0.13132	0.13082	0.084537	0.057069	0.033396	0.022504	0.020734
60dgrw	0.019589	0.017448	0.016054	0.015103	0.020517	0.036161	0.15029	0.42897	0.58169	0.55618	0.54736	0.39595	0.22507	0.11733	0.055309	0.025561	0.021129
