Rows	0	2.5	5	7.5	10	12.5	15	17.5	20	22.5	25	27.5	30	32.5	35	37.5	40
dl	0.85326	0.77516	0.68914	0.59981	0.51152	0.42792	0.35175	0.28472	0.22757	0.18021	0.14193	0.11165	0.08811	0.07001	0.05618	0.04560	0.03746
tw	0.93224	0.88219	0.81279	0.70658	0.54216	0.34085	0.17674	0.08318	0.03873	0.01842	0.00892	0.00433	0.00208	0.00097	0.00044	0.00019	0.00008
sn	0.98500	0.97600	0.96700	0.95700	0.90200	0.44100	0.04300	0.00500	0.00100	0	0	0	0	0	0	0	0
